temperature,humidity,pressure,ghi,hour,dayofweek,month,power
0.5000000000000001,0.8641975308641976,,0.06795131845841784,0.0,0.0,0.2727272727272727,2203.1
0.5000000000000001,0.8641975308641976,,,0.0,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,0.23326572008113589,0.043478260869565216,0.0,0.2727272727272727,
0.5000000000000001,0.8641975308641976,,,0.043478260869565216,0.0,0.2727272727272727,
0.5000000000000001,0.8641975308641976,,0.3184584178498986,0.08695652173913043,0.0,0.2727272727272727,
0.5000000000000001,0.6790123456790123,,,0.08695652173913043,0.0,0.2727272727272727,
0.45000000000000007,0.8641975308641976,,0.49797160243407707,0.13043478260869565,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,,0.13043478260869565,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,0.39148073022312374,0.17391304347826086,0.0,0.2727272727272727,
0.5499999999999999,0.6296296296296295,,,0.17391304347826086,0.0,0.2727272727272727,
0.5499999999999999,0.4938271604938271,,0.5608519269776876,0.21739130434782608,0.0,0.2727272727272727,
0.5499999999999999,0.4938271604938271,,,0.21739130434782608,0.0,0.2727272727272727,
0.5499999999999999,0.7407407407407407,,0.6713995943204868,0.2608695652173913,0.0,0.2727272727272727,
0.5000000000000001,0.6790123456790123,,,0.2608695652173913,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,0.6359026369168357,0.30434782608695654,0.0,0.2727272727272727,
0.5000000000000001,0.8641975308641976,,,0.30434782608695654,0.0,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,0.5405679513184584,0.34782608695652173,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,,0.34782608695652173,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,0.3945233265720081,0.3913043478260869,0.0,0.2727272727272727,
0.5000000000000001,0.8024691358024691,,,0.3913043478260869,0.0,0.2727272727272727,
0.5000000000000001,0.7407407407407407,,0.1876267748478702,0.43478260869565216,0.0,0.2727272727272727,
0.5000000000000001,0.7407407407407407,,,0.43478260869565216,0.0,0.2727272727272727,
0.5000000000000001,0.7407407407407407,,0.037525354969574036,0.4782608695652174,0.0,0.2727272727272727,
0.5499999999999999,0.691358024691358,,,0.4782608695652174,0.0,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,0.0,0.5217391304347826,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,,0.5217391304347826,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,0.0,0.5652173913043478,0.0,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,,0.5652173913043478,0.0,0.2727272727272727,
0.6,0.7407407407407407,,0.0,0.6086956521739131,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,,0.6086956521739131,0.0,0.2727272727272727,
0.6,0.8024691358024691,,0.0,0.6521739130434783,0.0,0.2727272727272727,
0.6,0.7407407407407407,,,0.6521739130434783,0.0,0.2727272727272727,
0.6,0.7407407407407407,,0.0,0.6956521739130435,0.0,0.2727272727272727,
0.6,0.691358024691358,,,0.6956521739130435,0.0,0.2727272727272727,
0.5499999999999999,0.7407407407407407,,0.0,0.7391304347826086,0.0,0.2727272727272727,
0.45000000000000007,0.8641975308641976,,,0.7391304347826086,0.0,0.2727272727272727,
0.5499999999999999,0.691358024691358,,0.0,0.7826086956521738,0.0,0.2727272727272727,
0.45000000000000007,0.9259259259259258,,,0.7826086956521738,0.0,0.2727272727272727,
0.5499999999999999,0.7407407407407407,,0.0,0.8260869565217391,0.0,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,,0.8260869565217391,0.0,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,0.0,0.8695652173913043,0.0,0.2727272727272727,
0.6,0.8024691358024691,,,0.8695652173913043,0.0,0.2727272727272727,
0.6,0.7407407407407407,,0.0,0.9130434782608695,0.0,0.2727272727272727,
0.45000000000000007,0.9259259259259258,,,0.9130434782608695,0.0,0.2727272727272727,
0.6,0.691358024691358,,0.0,0.9565217391304348,0.0,0.2727272727272727,
0.4,0.9259259259259258,,,0.9565217391304348,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,0.0,1.0,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,,1.0,0.0,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,0.03955375253549696,0.0,0.16666666666666666,0.2727272727272727,2809.62
0.5499999999999999,0.8641975308641976,,,0.0,0.16666666666666666,0.2727272727272727,
0.35,1.0,,0.21602434077079108,0.043478260869565216,0.16666666666666666,0.2727272727272727,
0.45000000000000007,0.9259259259259258,,,0.043478260869565216,0.16666666666666666,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,0.27281947261663286,0.08695652173913043,0.16666666666666666,0.2727272727272727,
0.45000000000000007,0.9259259259259258,,,0.08695652173913043,0.16666666666666666,0.2727272727272727,
0.5499999999999999,0.8641975308641976,,0.2363083164300203,0.13043478260869565,0.16666666666666666,0.2727272727272727,
0.6,0.8024691358024691,,,0.13043478260869565,0.16666666666666666,0.2727272727272727,
0.5499999999999999,0.8024691358024691,,0.44016227180527384,0.17391304347826086,0.16666666666666666,0.2727272727272727,
0.5000000000000001,0.8641975308641976,,,0.17391304347826086,0.16666666666666666,0.2727272727272727,
0.5000000000000001,0.9259259259259258,,0.9178498985801217,0.21739130434782608,0.16666666666666666,0.2727272727272727,
0.5000000000000001,0.8641975308641976,,,0.21739130434782608,0.16666666666666666,0.2727272727272727,
