Datatable from 01/09/2023 06:00:00 to 19/09/2023 18:00:00,,,,,,,,,,,,,,,,,,
,POI - POI - Active Power - total (MW),,T05_WS - ( T05_WS ) Weather Station - Global Horizontal Irradiance - ( W/m2 ),,T15_WS - ( T15_WS ) Weather Station - Global Horizontal Irradiance - ( W/m2 ),,T05_WS - ( T05_WS ) Weather Station - Tilted Irradiance - ( W/m2 ),,T15_WS - ( T15_WS ) Weather Station - Tilted Irradiance - ( W/m2 ),,T05_WS - ( T05_WS ) Weather Station - Air Temperature ( degree ),,T15_WS - ( T15_WS ) Weather Station - Air Temperature ( degree ),,T05_WS - ( T05_WS ) Weather Station - Module Temperature ( degree ),,T15_WS - ( T15_WS ) Weather Station - Module Temperature ( degree ),
,POI_MMXU1_totW,,WSA_MET_RadGHI,,WSB_MET_RadGHI,,WSA_MET_RadPOA,,WSB_MET_RadPOA,,WSA_MET_AirTemp,,WSB_MET_AirTemp,,WSA_MET_PVTemp,,WSB_MET_PVTemp,
TimeStamp,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality
16/09/23 13:30,4.962,Good,74.196,Good,68.498,Good,62.983,Good,62.479,Good,25.887,Good,-3276.8,Bad,25.89,Good,25.742,Good
16/09/23 14:00,7.624,Good,105.472,Good,100.619,Good,92.054,Good,92.011,Good,26.155,Good,-3276.8,Bad,26.195,Good,26.119,Good
16/09/23 14:30,8.411,Good,119,Good,112.125,Good,99.076,Good,100.143,Good,26.424,Good,-3276.8,Bad,26.501,Good,26.394,Good
16/09/23 15:00,9.289,Good,132.076,Good,127.305,Good,110.748,Good,111.636,Good,26.692,Good,-3276.8,Bad,26.819,Good,26.668,Good
16/09/23 15:30,9.65,Good,135.133,Good,127.017,Good,115.716,Good,116.017,Good,27.036,Good,-3276.8,Bad,28.525,Good,28.529,Good
16/09/23 16:00,7.522,Good,104.105,Good,96.617,Good,93.168,Good,92.766,Good,27.388,Good,-3276.8,Bad,28.171,Good,28.315,Good
16/09/23 16:30,4.676,Good,70.54,Good,64.144,Good,62.29,Good,61.503,Good,27.237,Good,-3276.8,Bad,27.5,Good,27.656,Good
16/09/23 17:00,4.18,Good,61.347,Good,54.543,Good,60.146,Good,57.347,Good,27.137,Good,-3276.8,Bad,27.3,Good,26.93,Good
16/09/23 17:30,2.714,Good,46.091,Good,38.14,Good,42.952,Good,39.18,Good,27.053,Good,-3276.8,Bad,26.907,Good,26.499,Good
16/09/23 18:00,-0.247,Good,12.647,Good,1.782,Good,4.071,Good,2,Good,26.864,Good,-3276.8,Bad,25.175,Good,25.125,Good
16/09/23 18:30,-0.121,Good,10.81,Good,0,Good,3.73,Good,0,Good,26.502,Good,-3276.8,Bad,24.558,Good,24.201,Good
16/09/23 19:00,-0.121,Good,11.965,Good,0,Good,3.458,Good,0,Good,26.14,Good,-3276.8,Bad,24.408,Good,24.078,Good
16/09/23 19:30,-0.121,Good,13.121,Good,0,Good,3.186,Good,0,Good,25.971,Good,-3276.8,Bad,24.307,Good,24.185,Good
16/09/23 20:00,-0.12,Good,14,Good,0,Good,3,Good,0,Good,25.826,Good,-3276.8,Bad,23.453,Good,23.461,Good
16/09/23 20:30,-0.12,Good,0,Good,0,Good,0,Good,0,Good,25.681,Good,-3276.8,Bad,23.466,Good,23.182,Good
16/09/23 21:00,-0.12,Good,0,Good,0,Good,0,Good,0,Good,25.535,Good,-3276.8,Bad,23.175,Good,23.153,Good
16/09/23 21:30,-0.12,Good,0,Good,0,Good,0,Good,0,Good,25.39,Good,-3276.8,Bad,23.152,Good,23.125,Good
16/09/23 22:00,-0.119,Good,0,Good,0,Good,0,Good,0,Good,25.28,Good,-3276.8,Bad,23.543,Good,23.095,Good
16/09/23 22:30,-0.119,Good,0,Good,0,Good,0,Good,0,Good,25.226,Good,-3276.8,Bad,23.459,Good,23.058,Good
16/09/23 23:00,-0.119,Good,0,Good,0,Good,0,Good,0,Good,25.172,Good,-3276.8,Bad,23.374,Good,23.021,Good
16/09/23 23:30,-0.119,Good,0,Good,0,Good,0,Good,0,Good,25.118,Good,-3276.8,Bad,23.289,Good,22.984,Good
17/09/23 0:00,-0.118,Good,0,Good,0,Good,0,Good,0,Good,25.065,Good,-3276.8,Bad,23.204,Good,22.947,Good
17/09/23 0:30,-0.118,Good,0,Good,0,Good,0,Good,0,Good,25.011,Good,-3276.8,Bad,23.367,Good,22.91,Good
17/09/23 1:00,-0.118,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.002,Good,22.9,Good
17/09/23 1:30,-0.117,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.186,Good,22.9,Good
17/09/23 2:00,-0.117,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.236,Good,22.9,Good
17/09/23 2:30,-0.117,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.176,Good,22.9,Good
17/09/23 3:00,-0.117,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.288,Good,22.88,Good
17/09/23 3:30,-0.116,Good,0,Good,0,Good,0,Good,0,Good,25,Good,-3276.8,Bad,23.202,Good,22.648,Good
17/09/23 4:00,-0.114,Good,0,Good,0,Good,0,Good,0,Good,24.972,Good,-3276.8,Bad,24.027,Good,22.85,Good
17/09/23 4:30,-0.112,Good,0,Good,0,Good,0,Good,0,Good,24.939,Good,-3276.8,Bad,24.251,Good,23.868,Good
17/09/23 5:00,-0.11,Good,0,Good,0,Good,0,Good,0,Good,24.906,Good,-3276.8,Bad,24.048,Good,23.326,Good
17/09/23 5:30,-0.109,Good,26.205,Good,2.584,Good,6.901,Good,2.993,Good,24.817,Good,-3276.8,Bad,23.422,Good,22.783,Good
17/09/23 6:00,1.931,Good,58.766,Good,38.683,Good,38.115,Good,38.606,Good,24.717,Good,-3276.8,Bad,23.764,Good,22.908,Good
17/09/23 6:30,7.275,Good,125.318,Good,132.634,Good,130.336,Good,150.765,Good,25.842,Good,-3276.8,Bad,25.391,Good,25.069,Good
17/09/23 7:00,15.117,Good,207.437,Good,244.171,Good,243.944,Good,259.07,Good,27.647,Good,-3276.8,Bad,27.099,Good,27.598,Good
17/09/23 7:30,25.041,Good,325.834,Good,391.998,Good,374.804,Good,421.381,Good,29.969,Good,-3276.8,Bad,30.831,Good,30.762,Good
17/09/23 8:00,31.044,Good,463.344,Good,556.296,Good,515.253,Good,589.576,Good,32.073,Good,-3276.8,Bad,36.649,Good,38.269,Good
17/09/23 8:30,41.641,Good,640.289,Good,457.197,Good,692.162,Good,620.393,Good,32.812,Good,-3276.8,Bad,35.599,Good,40.966,Good
17/09/23 9:00,40.983,Good,523.144,Good,815.845,Good,528.808,Good,856.915,Good,32.778,Good,-3276.8,Bad,38.113,Good,41.447,Good
17/09/23 9:30,41.68,Good,872.667,Good,855.145,Good,950.968,Good,898.693,Good,33.733,Good,-3276.8,Bad,45.441,Good,43.716,Good
17/09/23 10:00,26.254,Good,1046.89,Good,305.666,Good,1116.674,Good,311.254,Good,34.077,Good,-3276.8,Bad,51.483,Good,48.628,Good
17/09/23 10:30,42.418,Good,681.018,Good,1100.737,Good,714.089,Good,1124.598,Good,33.445,Good,-3276.8,Bad,42.408,Good,44.835,Good
17/09/23 11:00,49.183,Good,1061.497,Good,1101.504,Good,1104.079,Good,1124.069,Good,33.604,Good,-3276.8,Bad,41.058,Good,47.854,Good
17/09/23 11:30,32.936,Good,1183.002,Good,952.373,Good,1218.616,Good,952.106,Good,35.206,Good,-3276.8,Bad,56.28,Good,52.705,Good
17/09/23 12:00,47.551,Good,1078.825,Good,1126.59,Good,1095.49,Good,1135.59,Good,35.047,Good,-3276.8,Bad,54.331,Good,51.217,Good
17/09/23 12:30,29.697,Good,1077.805,Good,409.949,Good,1055.307,Good,394.725,Good,34.596,Good,-3276.8,Bad,56.829,Good,53.563,Good
17/09/23 13:00,32.558,Good,293.232,Good,344.158,Good,294.259,Good,358.28,Good,34.04,Good,-3276.8,Bad,44.732,Good,41.63,Good
17/09/23 13:30,18.954,Good,207.532,Good,359.538,Good,207.165,Good,329.758,Good,31.177,Good,-3276.8,Bad,36.195,Good,37.446,Good
17/09/23 14:00,45.954,Good,697.732,Good,642.182,Good,690.524,Good,641.437,Good,33.136,Good,-3276.8,Bad,49.828,Good,48.825,Good
17/09/23 14:30,50.654,Good,813.539,Good,775.791,Good,811.874,Good,782.762,Good,34.257,Good,-3276.8,Bad,50.276,Good,48.072,Good
17/09/23 15:00,28.156,Good,399.825,Good,214.203,Good,412.965,Good,218.811,Good,33.281,Good,-3276.8,Bad,46.956,Good,40.901,Good
17/09/23 15:30,3.981,Good,58.48,Good,52.47,Good,65.327,Good,54.559,Good,29.499,Good,-3276.8,Bad,28.927,Good,25.999,Good
17/09/23 16:00,10.932,Good,147.097,Good,147.308,Good,149.239,Good,146.713,Good,26.6,Good,-3276.8,Bad,27.235,Good,26.538,Good
17/09/23 16:30,6.665,Good,79.908,Good,78.587,Good,81.249,Good,81.585,Good,27.738,Good,-3276.8,Bad,30.448,Good,29.999,Good
17/09/23 17:00,2.481,Good,36.554,Good,34,Good,35.133,Good,33,Good,27.895,Good,-3276.8,Bad,28.483,Good,28.147,Good
17/09/23 17:30,0.642,Good,11.962,Good,12.932,Good,12.979,Good,12.436,Good,28.051,Good,-3276.8,Bad,27.626,Good,27.55,Good
17/09/23 18:00,-0.15,Good,3,Good,2,Good,5.395,Good,3,Good,27.875,Good,-3276.8,Bad,27.009,Good,27.192,Good
17/09/23 18:30,-0.146,Good,3,Good,0,Good,1.186,Good,0,Good,25.654,Good,-3276.8,Bad,24.419,Good,24.313,Good
17/09/23 19:00,-0.141,Good,4.506,Good,0,Good,2,Good,0,Good,25.495,Good,-3276.8,Bad,24.337,Good,24.052,Good
17/09/23 19:30,-0.137,Good,6.295,Good,0,Good,1,Good,0,Good,25.364,Good,-3276.8,Bad,24.472,Good,23.988,Good
17/09/23 20:00,-0.132,Good,8,Good,0,Good,1,Good,0,Good,25.233,Good,-3276.8,Bad,24.284,Good,23.924,Good
17/09/23 20:30,-0.128,Good,0,Good,0,Good,0,Good,0,Good,25.103,Good,-3276.8,Bad,24.096,Good,23.86,Good
17/09/23 21:00,-0.123,Good,0,Good,0,Good,0,Good,0,Good,25.005,Good,-3276.8,Bad,24.042,Good,23.797,Good
17/09/23 21:30,-0.119,Good,0,Good,0,Good,0,Good,0,Good,25.027,Good,-3276.8,Bad,24.128,Good,23.748,Good
17/09/23 22:00,-0.115,Good,0,Good,0,Good,0,Good,0,Good,25.05,Good,-3276.8,Bad,24.046,Good,23.699,Good
17/09/23 22:30,-0.115,Good,0,Good,0,Good,0,Good,0,Good,25.072,Good,-3276.8,Bad,23.846,Good,23.65,Good
17/09/23 23:00,-0.114,Good,0,Good,0,Good,0,Good,0,Good,25.095,Good,-3276.8,Bad,23.757,Good,23.601,Good
17/09/23 23:30,-0.114,Good,0,Good,0,Good,0,Good,0,Good,25.012,Good,-3276.8,Bad,23.768,Good,23.518,Good
18/09/23 0:00,-0.113,Good,0,Good,0,Good,0,Good,0,Good,24.898,Good,-3276.8,Bad,23.086,Good,22.879,Good
18/09/23 0:30,-0.113,Good,0,Good,0,Good,0,Good,0,Good,24.8,Good,-3276.8,Bad,23.049,Good,22.814,Good
18/09/23 1:00,-0.113,Good,0,Good,0,Good,0,Good,0,Good,24.8,Good,-3276.8,Bad,23.012,Good,22.75,Good
18/09/23 1:30,-0.112,Good,0,Good,0,Good,0,Good,0,Good,24.8,Good,-3276.8,Bad,23.048,Good,22.686,Good
18/09/23 2:00,-0.112,Good,0,Good,0,Good,0,Good,0,Good,24.8,Good,-3276.8,Bad,23.012,Good,22.621,Good
18/09/23 2:30,-0.111,Good,0,Good,0,Good,0,Good,0,Good,24.705,Good,-3276.8,Bad,22.681,Good,22.377,Good
18/09/23 3:00,-0.111,Good,0,Good,0,Good,0,Good,0,Good,24.527,Good,-3276.8,Bad,22.697,Good,22.045,Good
18/09/23 3:30,-0.11,Good,0,Good,0,Good,0,Good,0,Good,24.35,Good,-3276.8,Bad,21.803,Good,21.714,Good
18/09/23 4:00,-0.11,Good,0,Good,0,Good,0,Good,0,Good,24.172,Good,-3276.8,Bad,21.549,Good,21.382,Good
18/09/23 4:30,-0.11,Good,0,Good,0,Good,0,Good,0,Good,23.994,Good,-3276.8,Bad,21.565,Good,21.297,Good
18/09/23 5:00,-0.109,Good,0,Good,0,Good,0,Good,0,Good,23.979,Good,-3276.8,Bad,21.523,Good,21.51,Good
18/09/23 5:30,-0.109,Good,20.156,Good,0,Good,5.477,Good,0,Good,24.148,Good,-3276.8,Bad,21.962,Good,21.724,Good
18/09/23 6:00,1.102,Good,39.033,Good,19.902,Good,25.967,Good,20.707,Good,24.317,Good,-3276.8,Bad,22.4,Good,22.27,Good
18/09/23 6:30,6.406,Good,104.462,Good,91.923,Good,96.874,Good,99.223,Good,24.913,Good,-3276.8,Bad,24.968,Good,24.475,Good
18/09/23 7:00,9.551,Good,142.649,Good,131.086,Good,140.229,Good,135.603,Good,25.923,Good,-3276.8,Bad,27.093,Good,27.138,Good
18/09/23 7:30,17.107,Good,254.387,Good,250.27,Good,258.713,Good,265.752,Good,26.621,Good,-3276.8,Bad,28.582,Good,28.559,Good
18/09/23 8:00,31.059,Good,419.792,Good,417.607,Good,469.565,Good,439.397,Good,28.241,Good,-3276.8,Bad,36.423,Good,34.888,Good
18/09/23 8:30,31.287,Good,413.635,Good,426.226,Good,443.877,Good,438.244,Good,30.036,Good,-3276.8,Bad,37.897,Good,38.46,Good
18/09/23 9:00,55.711,Good,485.264,Good,909.808,Good,506.568,Good,943.408,Good,31.731,Good,-3276.8,Bad,44.265,Good,45.025,Good
18/09/23 9:30,54.734,Good,986.739,Good,1009.991,Good,1052.232,Good,1048.704,Good,32.463,Good,-3276.8,Bad,48.831,Good,47.101,Good
18/09/23 10:00,46.826,Good,295,Uncertain,971.072,Good,307.537,Good,999.788,Good,32.264,Good,-3276.8,Bad,48.327,Good,46.684,Good
18/09/23 10:30,57.496,Good,946.128,Good,1110.987,Good,994.453,Good,1141.842,Good,32.274,Good,-3276.8,Bad,45.424,Good,54.014,Good
18/09/23 11:00,52.02,Good,1027.244,Good,1089.381,Good,1075.492,Good,1127.227,Good,32.241,Good,-3276.8,Bad,52.817,Good,52.11,Good
18/09/23 11:30,57.697,Good,835.686,Good,791.337,Good,843.678,Good,800.258,Good,32.534,Good,-3276.8,Bad,52.265,Good,50.974,Good
18/09/23 12:00,55.854,Good,800.184,Good,816.618,Good,820.55,Good,818.159,Good,33.295,Good,-3276.8,Bad,57.303,Good,56.771,Good
18/09/23 12:30,54.372,Good,783.619,Good,789.971,Good,789.726,Good,794.55,Good,33.318,Good,-3276.8,Bad,52.08,Good,49.049,Good
18/09/23 13:00,58.085,Good,866.621,Good,1011.671,Good,851.28,Good,1031.798,Good,33.541,Good,-3276.8,Bad,55.085,Good,54.246,Good
18/09/23 13:30,62.835,Good,952.298,Good,921.302,Good,946.04,Good,933.254,Good,34.254,Good,-3276.8,Bad,55.86,Good,53.434,Good
18/09/23 14:00,52.771,Good,896.682,Good,548.883,Good,879.748,Good,524.583,Good,34.539,Good,-3276.8,Bad,55.305,Good,48.069,Good
18/09/23 14:30,48.494,Good,766.628,Good,638.361,Good,747.845,Good,618.367,Good,34.884,Good,-3276.8,Bad,51.353,Good,48.5,Good
18/09/23 15:00,46.163,Good,664.189,Good,625.562,Good,638.945,Good,611.406,Good,34.547,Good,-3276.8,Bad,49.933,Good,47.715,Good
18/09/23 15:30,40.492,Good,579.444,Good,551.675,Good,556.809,Good,537.671,Good,34.725,Good,-3276.8,Bad,48.358,Good,45.447,Good
18/09/23 16:00,26.738,Good,369.917,Good,355.285,Good,354.835,Good,347.241,Good,34.149,Good,-3276.8,Bad,43.932,Good,41.591,Good
18/09/23 16:30,15.956,Good,224.477,Good,213.082,Good,214.379,Good,205.653,Good,33.537,Good,-3276.8,Bad,38.454,Good,37.565,Good
18/09/23 17:00,6.697,Good,98.736,Good,96.172,Good,94.813,Good,92.068,Good,32.56,Good,-3276.8,Bad,34.651,Good,33.746,Good
18/09/23 17:30,1.549,Good,29.961,Good,30.098,Good,28.207,Good,27.511,Good,31.299,Good,-3276.8,Bad,30.847,Good,30.259,Good
18/09/23 18:00,-0.248,Good,3,Good,4.497,Good,2.604,Good,2,Good,30.037,Good,-3276.8,Bad,27.338,Good,26.964,Good
18/09/23 18:30,-0.139,Good,0,Good,1,Good,2,Good,0,Good,28.725,Good,-3276.8,Bad,25.836,Good,25.709,Good
18/09/23 19:00,-0.137,Good,0,Good,1,Good,0,Good,0,Good,28.177,Good,-3276.8,Bad,25.308,Good,25.068,Good
18/09/23 19:30,-0.136,Good,0,Good,0,Good,0,Good,0,Good,27.711,Good,-3276.8,Bad,24.872,Good,24.652,Good
18/09/23 20:00,-0.134,Good,0,Good,0,Good,0,Good,0,Good,27.368,Good,-3276.8,Bad,25.707,Good,25.321,Good
18/09/23 20:30,-0.132,Good,0,Good,0,Good,0,Good,0,Good,28.406,Good,-3276.8,Bad,25.755,Good,25.68,Good
18/09/23 21:00,-0.13,Good,0,Good,0,Good,0,Good,0,Good,28.655,Good,-3276.8,Bad,25.793,Good,25.646,Good
18/09/23 21:30,-0.128,Good,0,Good,0,Good,0,Good,0,Good,28.356,Good,-3276.8,Bad,25.652,Good,25.611,Good
18/09/23 22:00,-0.126,Good,0,Good,0,Good,0,Good,0,Good,28.056,Good,-3276.8,Bad,25.319,Good,25.403,Good
18/09/23 22:30,-0.124,Good,0,Good,0,Good,0,Good,0,Good,27.756,Good,-3276.8,Bad,24.888,Good,25.111,Good
18/09/23 23:00,-0.122,Good,0,Good,0,Good,0,Good,0,Good,27.456,Good,-3276.8,Bad,24.71,Good,24.819,Good
18/09/23 23:30,-0.12,Good,0,Good,0,Good,0,Good,0,Good,27.239,Good,-3276.8,Bad,24.963,Good,24.747,Good
19/09/23 0:00,-0.118,Good,0,Good,0,Good,0,Good,0,Good,27.508,Good,-3276.8,Bad,25.415,Good,25.012,Good
19/09/23 0:30,-0.117,Good,0,Good,0,Good,0,Good,0,Good,27.777,Good,-3276.8,Bad,25.517,Good,25.572,Good
19/09/23 1:00,-0.115,Good,0,Good,0,Good,0,Good,0,Good,27.535,Good,-3276.8,Bad,25.101,Good,25.297,Good
19/09/23 1:30,-0.115,Good,0,Good,0,Good,0,Good,0,Good,27.246,Good,-3276.8,Bad,25.19,Good,25.022,Good
19/09/23 2:00,-0.114,Good,0,Good,0,Good,0,Good,0,Good,26.956,Good,-3276.8,Bad,25.07,Good,24.773,Good
19/09/23 2:30,-0.114,Good,0,Good,0,Good,0,Good,0,Good,26.667,Good,-3276.8,Bad,24.924,Good,24.635,Good
19/09/23 3:00,-0.113,Good,0,Good,0,Good,0,Good,0,Good,26.377,Good,-3276.8,Bad,24.694,Good,24.478,Good
19/09/23 3:30,-0.113,Good,0,Good,0,Good,0,Good,0,Good,26.088,Good,-3276.8,Bad,24.003,Good,23.881,Good
19/09/23 4:00,-0.112,Good,0,Good,0,Good,0,Good,0,Good,25.912,Good,-3276.8,Bad,23.866,Good,23.822,Good
19/09/23 4:30,-0.112,Good,0,Good,0,Good,0,Good,0,Good,25.946,Good,-3276.8,Bad,24.563,Good,24.329,Good
19/09/23 5:00,-0.111,Good,0,Good,0,Good,0,Good,0,Good,25.981,Good,-3276.8,Bad,24.54,Good,24.249,Good
19/09/23 5:30,-0.111,Good,8.223,Good,0,Good,3.328,Good,0,Good,25.884,Good,-3276.8,Bad,23.43,Good,23.45,Good
19/09/23 6:00,1.166,Good,27.64,Good,24.747,Good,24.48,Good,23.479,Good,25.614,Good,-3276.8,Bad,23.509,Good,23.155,Good
19/09/23 6:30,6.626,Good,93.691,Good,101.954,Good,105.539,Good,119.959,Good,26.181,Good,-3276.8,Bad,25.384,Good,25.251,Good
19/09/23 7:00,13.09,Good,166.624,Good,192.271,Good,190.382,Good,209.65,Good,27.925,Good,-3276.8,Bad,28.625,Good,28.234,Good
19/09/23 7:30,26.86,Good,323.211,Good,371.349,Good,371.836,Good,403.799,Good,30.343,Good,-3276.8,Bad,32.856,Good,33.829,Good
19/09/23 8:00,34.678,Good,423.77,Good,480.015,Good,491.811,Good,522.04,Good,30.932,Good,-3276.8,Bad,40.413,Good,40.371,Good
19/09/23 8:30,29.161,Good,555.151,Good,492.765,Good,609.993,Good,515.45,Good,31.258,Good,-3276.8,Bad,42.36,Good,38.464,Good
19/09/23 9:00,47.069,Good,380.888,Good,847.52,Good,406.128,Good,930.292,Good,31.26,Good,-3276.8,Bad,45.875,Good,47.567,Good
19/09/23 9:30,58.505,Good,375.602,Uncertain,928.995,Good,396.869,Good,982.274,Good,32.739,Good,-3276.8,Bad,40.996,Good,48.163,Good
19/09/23 10:00,50.044,Good,637.622,Good,647.894,Good,673.186,Good,668.503,Good,32.532,Good,-3276.8,Bad,53.012,Good,50.631,Good
19/09/23 10:30,65.395,Good,874.739,Good,927.957,Good,939.524,Good,975.706,Good,33.295,Good,-3276.8,Bad,53.943,Good,51.472,Good
19/09/23 11:00,42.984,Good,523.006,Good,547.545,Good,557.539,Good,576.52,Good,32.302,Good,-3276.8,Bad,46.562,Good,46.201,Good
19/09/23 11:30,52.943,Good,695.607,Good,633.839,Good,716.424,Good,650.909,Good,32.394,Good,-3276.8,Bad,46.361,Good,44.4,Good
19/09/23 12:00,55.613,Good,728.847,Good,715.986,Good,733.364,Good,716.257,Good,32.821,Good,-3276.8,Bad,50.164,Good,48.209,Good
19/09/23 12:30,52.584,Good,858.806,Good,630.468,Good,841.423,Good,614.83,Good,32.804,Good,-3276.8,Bad,45.898,Good,45.225,Good
19/09/23 13:00,65.611,Good,1140.806,Good,1088.274,Good,1126.232,Good,1072.524,Good,34.333,Good,-3276.8,Bad,58.335,Good,55.31,Good
19/09/23 13:30,66.11,Good,975.761,Good,953.996,Good,954.64,Good,937.501,Good,34.669,Good,-3276.8,Bad,56.76,Good,54.355,Good
19/09/23 14:00,61.09,Good,883.568,Good,858.005,Good,861.789,Good,852.119,Good,34.747,Good,-3276.8,Bad,55.602,Good,52.904,Good
19/09/23 14:30,42.79,Good,704.074,Good,608.285,Good,690.728,Good,603.225,Good,34.779,Good,-3276.8,Bad,52.883,Good,51.236,Good
19/09/23 15:00,47.365,Good,666.136,Good,587.772,Good,639.66,Good,576.822,Good,34.787,Good,-3276.8,Bad,48.596,Good,47.029,Good
19/09/23 15:30,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,48.394,Good,46.118,Good
19/09/23 16:00,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value
19/09/23 16:30,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value
19/09/23 17:00,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value
19/09/23 17:30,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value
19/09/23 18:00,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value,194,No_Value
